filename,status,result,created,updated,comments,score,comments2,score2,fungi,reason,bytes,words,tokens,study,studyReason,md5,match_hash
The+accumulation+of+substances+in+Recirculating+Aquaculture+Systems+%28RAS%29+affects+embryonic+and+larval+development+in+common+carp+Cyprinus+carpio_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:58:20.084762,"The paper primarily focuses on aquaculture systems and trace element accumulation in fish, without any mention or relevance to mycoremediation, which involves the use of fungi to remediate contaminated environments.",1.0,"The paper discusses the accumulation of trace elements in fish cultured in different aquaculture systems, specifically recirculating aquaculture systems (RAS) and biofloc technology (BFT). It does not involve any experimental study on mycoremediation or the role of fungi in bioremediation processes. Therefore, it is not relevant to the topic of mycoremediation.",1.0,No,The paper discusses the use of recirculating aquaculture systems and biofloc technology for culturing fish but does not mention the use of fungi for dye remediation.,38768.0,6139.0,11735.0,Experimental,"The paper contains new experiments evaluating and comparing the accumulation of trace elements in fish tissue across three different aquaculture systems, specifically focusing on marbled eel reared in recirculating aquaculture systems (RAS), biofloc technology systems (BFT), and concrete ponds (CP).",7d4f1f26920945da7974c2c1d158b750,0.0
The+enzymatic+decolorization+of+textile+dyes+by+the+immobilized+polyphenol+oxidase+from+quince+leaves_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:56:36.188571,"The paper focuses on the enzymatic decolorization of Malachite Green dye using a newly isolated Bacillus cereus strain, demonstrating its potential for bioremediation of dye-contaminated wastewater. It emphasizes the use of microbial enzymes for wastewater treatment, which is a core aspect of mycoremediation.",10.0,"The paper focuses on the decolorization of Malachite Green dye using a Bacillus cereus strain, which is a bacterial approach rather than a fungal one. There is no mention of experiments involving fungal species or the enzymes associated with fungal degradation processes such as laccase or manganese peroxidase, which are key elements in mycoremediation studies.",1.0,No,"The paper discusses the decolorization of Malachite Green dye using a crude enzyme from a newly isolated Bacillus cereus strain, which is a bacterium, not a fungus.",23751.0,3611.0,6085.0,Experimental,"The paper presents new experiments on the enzymatic decolorization of Malachite Green dye using a newly isolated Bacillus cereus strain, detailing the experimental setup, results, and analysis of the findings.",3f5a6de7be724ce706d3ab3a3f22b225,0.0
Design+and+Synthesis+of+Nano+-Photosensitizers+for+various+biomedical+applications_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:54:56.604457,"The paper primarily discusses topics related to drug delivery systems, drug formulation, and pharmacology, with no mention or relevance to mycoremediation or the use of fungi in bioremediation processes.",1.0,"The paper discusses various topics related to drug delivery systems, pharmacology, and drug synthesis but does not mention mycoremediation, fungal species, or their role in degrading pollutants or dyes, which are critical aspects of experimental studies on mycoremediation.",1.0,No,"The paper does not mention the use of fungi for dye remediation; it primarily discusses drug delivery systems, nanoparticle formulations, and related biomedical topics.",75758.0,10427.0,18201.0,No,The paper does not contain new experiments on fungi based remediation; it primarily discusses various studies and results related to drug delivery systems and other pharmaceutical applications.,5892a97a9cda0b57ddc1ba4c512795be,0.0
Metabolic+engineering+for+microbial+production+of+shikimic+acid_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:50:42.655769,"The paper focuses primarily on the production of shikimic acid from microbial sources, specifically coliform bacteria, and does not address mycoremediation or any related fungal processes.",1.0,"The paper focuses on the production of shikimic acid using coliform bacteria, which is primarily related to microbial fermentation processes rather than mycoremediation. There is no mention of fungal species or their role in bioremediation or degradation of pollutants.",1.0,No,"The paper discusses the production of shikimic acid using coliform bacteria, not fungi, for dye remediation.",17710.0,2700.0,5109.0,Experimental,"The paper presents new experiments on the production of shikimic acid using coliform bacteria, including methods for isolation, mutation, and optimization of fermentation conditions, indicating original research rather than a summary of existing literature.",2df2a59f08023c6b618321be3fb87b38,0.0
Biodegradation+of+sulfonated+diazo+dye+by+Streptomycetes+species_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:52:13.081648,"The paper primarily focuses on the degradation of azo dyes using Serratia marcescens, which is highly relevant to mycoremediation as it discusses the potential of bacterial strains in bioremediation and the enzymatic processes involved in the degradation of environmental pollutants.",10.0,"The paper discusses the degradation of azo dyes by a bacterial strain, Serratia marcescens, rather than focusing on mycoremediation, which involves fungi. There is no mention of fungal species or their role in bioremediation, nor any investigation into fungal enzymes. The study is primarily about bacterial degradation of dyes.",1.0,No,"The paper discusses the use of the bacterium Serratia marcescens for dye remediation, not fungi.",75953.0,22817.0,33247.0,Experimental,"The paper presents new experiments on the degradation of azo dyes using the bacterium Serratia marcescens, demonstrating its capability to utilize azo dyes as the sole carbon source and detailing quantitative results on dye decolorization over time.",33ee70afda2ba30508d64422e68d87fb,1.0
Biodegradation+of+triphenylmethane+dyes+by+Streptomyces+spp._.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:50:29.400269,"The paper focuses on the biodegradation of various types of dyes, including triphenylmethane dyes, by actinomycetes, which is closely related to mycoremediation. While it does not focus exclusively on fungi, the research includes relevant aspects of microbial bioremediation involving actinomycetes, making it highly relevant to the field.",8.0,"The paper focuses on the biodegradation of triphenylmethane and azo dyes, specifically highlighting the capabilities of actinomycetes, which includes experimental studies on the identification and characterization of genes responsible for dye decolorization. It also discusses the enzymes involved in these processes, aligning closely with the criteria for an experimental study of mycoremediation.",10.0,No,The paper discusses the biodegradation of dyes by actinomycetes and does not mention the use of fungi for dye remediation.,252755.0,33928.0,62888.0,Experimental,"The paper describes original research including the identification and characterization of genes responsible for dye decolorization, the screening of bacteria capable of decolorizing various dyes, and the development of methods for bioremediation involving actinomycetes. It includes specific experimental methods, results, and analyses related to biodegradation experiments, which qualify it as an experimental study.",57d446706c8d2788ec0700eea4f96037,6.0
Influence+of+bioparticle+size+on+the+degradation+of+partially+soluble+wastewater+in+an+anaerobic+sequencing+batch+biofilm+reactor+%28ASBBR%29_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:57:42.306117,"The paper primarily discusses sequencing batch reactors (SBR), anaerobic sequencing batch reactors (ASBR), and sequencing batch biofilm reactors (SBBR), focusing on their operational characteristics and efficiencies in wastewater treatment. It does not mention mycoremediation or the use of fungi in remediation processes, which is essential for relevance to mycoremediation.",1.0,"The paper focuses on sequencing batch reactors (SBR), anaerobic sequencing batch reactors (ASBR), and sequencing batch biofilm reactors (SBBR) in wastewater treatment, discussing their characteristics, advantages, disadvantages, and operational procedures. It does not involve any experimental study related to mycoremediation or the role of fungi in bioremediation.",1.0,No,"The paper primarily discusses different types of sequencing batch reactors (SBR, ASBR, SBBR) and their effectiveness in wastewater treatment, with a focus on nitrogen, phosphate, and heavy metal removal. There is no mention of fungi being used for dye remediation.",23640.0,3618.0,6031.0,No,"The paper summarizes various systems and studies related to sequencing batch reactors (SBR), anaerobic sequencing batch reactors (ASBR), and sequencing batch biofilm reactors (SBBR), rather than presenting new experimental data on fungi-based remediation.",05a7f69ba2b877cb7a73c67f92ae325d,16.0
Development+and+evaluation+of+various+systems+of+telmisartan_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:54:50.409743,"The paper discusses various biotechnological processes, including microbial degradation and the production of biocatalysts, but lacks a primary focus on mycoremediation specifically. While there are mentions of fungal organisms, the context does not centralize around mycoremediation techniques or their applications.",5.0,"The paper contains significant information about the microbial degradation of dyes and the role of specific fungal species, particularly Aspergillus niger, in bioremediation processes. It discusses the production of laccase and its applications, which are relevant to mycoremediation. However, while it touches on these topics, it does not focus exclusively on direct experiments involving fungal species for bioremediation, leading to a slightly lower score.",8.0,Yes,"The paper discusses the use of fungi, specifically mentioning studies on the microbial degradation of triphenylmethane dyes and the production of laccase from fungi for dye remediation.",96417.0,14052.0,29612.0,Experimental,"The paper presents new experiments related to the microbial degradation of various compounds, including triphenylmethane dyes, and discusses the optimization of process parameters for the production of mycophenolic acid by Penicillium brevicompactum, which indicates experimental research on fungi-based remediation.",3d415d2befb65029dec4fb663319d4f1,30.0
Degradation+of+reactive+azo+dyes+by+Fenton+process_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:53:49.900630,"The paper primarily focuses on the Fenton oxidation process for the removal of the reactive azo dye Reactive Red 2, using hydrogen peroxide and ferrous ions as oxidants. While it discusses methods for dye removal, it does not specifically address mycoremediation or the role of fungi in bioremediation processes, which is the core of mycoremediation. Therefore, it is only tangentially related.",3.0,"The paper focuses primarily on the Fenton oxidation process for the removal of a specific azo dye (Reactive Red 2) using hydrogen peroxide and ferrous ion as catalysts. It does not involve any experimental studies related to mycoremediation or the use of fungal species in bioremediation, which is the core aspect of mycoremediation.",1.0,No,The paper discusses the Fenton oxidation process for dye removal but does not mention the use of fungi for dye remediation.,28371.0,4597.0,7636.0,Experimental,"The paper describes new experiments conducted using the Fenton oxidation process to remove Reactive Red 2 dye from aqueous solutions, detailing the methodologies, results, and statistical analysis of the experimental data.",35fa07c7b67b2405b13d6ff3a9667833,0.0
Quality+of+Care+and+Outcomes+Research+and+Functional+Genomics+and+Translational+Biology+Interdisciplinary+Working+Groups%3B+and+Council+on+Epidemiology+and+Prevention._.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:59:38.877435,"The paper discusses cardiomyopathy and its classification systems, which are unrelated to mycoremediation, a process involving fungi to remediate contaminated environments.",1.0,"The paper discusses cardiovascular diseases, specifically cardiomyopathy, and does not mention mycoremediation, fungi, or related experimental studies.",1.0,No,The paper discusses cardiomyopathy and its classifications but does not mention fungi or dye remediation.,6689.0,951.0,1458.0,No,"The paper summarizes the classification systems proposed by the AHA and ESC regarding cardiomyopathies, discussing their definitions and differences without presenting new experiments or research findings.",d0cab8c11a7141794022afc356138e57,0.0
Role+of+azoreductase+in+dye+degradation_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:50:32.791961,"The paper focuses extensively on the biodegradation of dyes and latex rubber by actinomycetes, specifically exploring the potential of these microorganisms in mycoremediation. It discusses the identification of genes responsible for dye decolorization and the degradation processes, which are essential aspects of mycoremediation.",10.0,"The paper discusses the biodegradation capabilities of actinomycetes, specifically focusing on the decolorization of triphenylmethane and azo dyes. It includes experimental components that involve the identification and characterization of genes responsible for dye decolorization, although it primarily emphasizes bacterial strains rather than fungal species. While it touches on the role of enzymes, the main focus is not directly on mycoremediation, which would require a stronger emphasis on fungi and their enzymatic activity in the degradation process.",7.0,No,"The paper focuses on actinomycetes and their capability to degrade dyes, specifically triphenylmethane and azo dyes, and does not mention the use of fungi for dye remediation.",252755.0,33928.0,62888.0,Experimental,"The paper describes original experiments conducted on biodegradation capabilities of actinomycetes, including the characterization of genes responsible for dye decolorization and the development of methods for bioremediation, indicating it presents new experimental findings rather than summarizing existing literature.",57d446706c8d2788ec0700eea4f96037,10.0
Colour+chemistry+synthesis+properties+and+application+of+organic+dyes+and+pigments_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:58:18.353375,"The paper does not contain any relevant information about mycoremediation, as it focuses on organic dyes and pigments.",1.0,"The provided text indicates a PDF error related to a file on organic dyes and pigments, which suggests that the paper may not be focused on the experimental study of mycoremediation or the role of fungi in bioremediation.",1.0,No,The provided information indicates a PDF error and does not contain any content related to the use of fungi for dye remediation.,136.0,9.0,37.0,Neither,"The input does not provide any content or context about the paper, making it impossible to classify as Experimental or Summary.",80d14125f7ffadf29c85b11956a84108,0.0
Biodegradation+of+reactive+textile+dye+Red+BLI+by+an+isolated+bacterium+Pseudomonas+sp.+SUK1_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:54:33.100292,"The paper primarily focuses on the biodegradation and detoxification of textile azo dyes using a bacterial consortium. There is no mention or involvement of fungi, which is essential for mycoremediation. The study is centered on bacterial processes and does not relate to mycoremediation methodologies.",1.0,"The paper discusses the biodegradation and detoxification of textile azo dyes using a bacterial consortium, not fungi. It does not focus on mycoremediation, which specifically involves the use of fungal species for bioremediation.",1.0,No,"The paper focuses on a bacterial consortium for the degradation and detoxification of textile azo dyes, and does not mention the use of fungi for dye remediation.",60700.0,9066.0,17063.0,Experimental,"The paper presents new experiments conducted on the biodegradation and detoxification of textile azo dyes using a bacterial consortium, detailing methods, results, and analysis of the experiments performed.",4f3fced717014da889225d338624b144,5.0
Indigo+degradation+with+purified+laccases+from+Trametes+hirsuta+and+sclerotim+rolfsii_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:59:52.930501,"The paper primarily focuses on the biodegradation of textile dyes using soil fungi, which is a key aspect of mycoremediation. It discusses the application of fungal strains in the decolorization of various dyes, showcasing their potential as bioremediation agents for environmental cleanup, specifically in relation to contaminated wastewater from the textile industry.",10.0,"The paper focuses on the experimental study of the biodegradation of textile dyes using specific fungal species (Aspergillus niger, Fusarium oxysporum, and Trichoderma lignorum) isolated from soil. It details direct experiments that evaluate the dye decolorization capabilities of these fungi under various conditions, including the quantification of degradation percentages. Additionally, the study investigates the role of the enzyme laccase in the biodegradation process, which aligns well with the requirements for high relevance to mycoremediation.",10.0,Yes,"The paper discusses the use of three soil fungal isolates (A. niger, F. oxysporum, and T. lignorum) for the biodegradation and decolorization of various textile dyes, indicating their application in dye remediation.",42070.0,6075.0,10821.0,Experimental,"The paper presents new experiments on the biodegradation of textile dyes using fungal isolates. It describes the methods and results of the experiments conducted with three specific fungal strains, detailing their effectiveness in degrading various dyes, which indicates original research rather than a summary of existing literature.",48ef43c4983ecc8561ababe7d87eeaea,7.0
Role+of+cyanobacteria+in+the+biodegradation+of+crude+oil+by+a+tropical+cyanobacterial+mat_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:53:57.261003,"The paper focuses on the biodegradation of crude oil by an artificial microalgal-bacterial consortium, which involves the use of microorganisms for environmental remediation. While it primarily discusses a consortium of microalgae and bacteria, it does not specifically focus on fungi, which are central to mycoremediation. Thus, it is relevant but not entirely aligned with mycoremediation.",8.0,"The paper focuses on the degradation of crude oil by a microalgal-bacterial consortium, which does not involve fungi or mycoremediation processes. It discusses bacterial and algal interactions, not fungal species or their enzymes.",1.0,No,"The paper focuses on an artificial microalgal-bacterial consortium for the biodegradation of crude oil, and does not mention the use of fungi for dye remediation.",22857.0,3403.0,6806.0,Experimental,"The paper presents new experiments conducted with an artificial microalgal-bacterial consortium to investigate the degradation process of crude oil, detailing specific methods and results regarding the biodegradation rates and population dynamics of the microorganisms involved.",a46032c8039cd460c8235b96298296fb,0.0
Mechanism+of+triphenylmethane+dye+biodegradation_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:53:54.480171,"The paper primarily focuses on the identification of genes involved in the biodegradation of triphenylmethane dyes, particularly crystal violet, using an Amycolatopsis species. It discusses the mechanisms of dye decolorization, the genetic elements involved, and the application of these findings in bioremediation, which aligns closely with the principles and practices of mycoremediation.",10.0,"The paper focuses on the experimental study of the biodegradation of crystal violet dye using the fungal species Amycolatopsis orientalis, detailing the identification of genes involved in the decolorization process and examining the enzymatic activities related to dye degradation. It discusses the mechanisms and pathways of dye breakdown, highlighting specific enzymes and genetic elements responsible for the degradation, which aligns perfectly with the definition of mycoremediation.",10.0,No,"The paper focuses on the use of Amycolatopsis orientalis for the biodegradation of crystal violet dye, without any mention of fungi being used for dye remediation.",43031.0,6252.0,12085.0,Experimental,"The paper presents original research involving the identification of genetic elements in the fungus A. orientalis that contribute to the biodegradation of crystal violet dye, including the construction of a genomic library, gene expression analysis, and decolorization experiments, indicating new experiments on fungi-based remediation.",f1de5425daac0ba0f42f7dde157b3d26,6.0
Enhanced+decolorization+and+biodegradationof+textile+azo+dye+Scarlet+R+by+using+developed+microbial+consortium+-GR_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:50:36.694781,"The paper primarily discusses the biodegradation of methyl orange using Ralstonia pickettii bacteria and various immobilization techniques. However, it focuses more on bacterial degradation and adsorption methods rather than mycoremediation, which specifically involves the use of fungi for remediation purposes.",3.0,"The paper discusses the biodegradation of the azo dye methyl orange using Ralstonia pickettii, specifically focusing on the experimental setup of immobilizing the bacteria in PVA-alginate-hectorite beads. It details the enzymatic activities involved in the degradation process, including the roles of azoreductase and laccase, which are crucial for understanding the mechanisms of dye degradation. However, the study primarily revolves around bacterial biodegradation rather than mycoremediation, which typically involves fungal species.",9.0,No,"The paper discusses the use of Ralstonia pickettii bacteria for dye remediation, specifically the biodegradation of the azo dye methyl orange. There is no mention of fungi being utilized in the remediation process.",61053.0,9469.0,19333.0,Experimental,"The paper contains new experiments on the adsorption and biodegradation of the azo dye methyl orange using Ralstonia pickettii immobilized in polyvinyl alcohol (PVA) – alginate – hectorite beads, detailing specific experimental conditions, results, and kinetics of degradation.",4e048b28ae9585d7041123dcce9a34da,0.0
Treatment+of+a+mixture+of+three+pesticides+by+photo-+and+electro-Fenton+processes_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:58:52.190096,"The paper focuses on electrochemical methods for the removal of organic pollutants from water, specifically using advanced oxidation processes like electro-Fenton and sulfate radical-based processes. It does not discuss mycoremediation, which involves the use of fungi to degrade or remove contaminants from the environment.",1.0,"The paper focuses on advanced oxidation processes (AOPs) for the removal of organic pollutants from water using electro-Fenton and Fenton-like processes, rather than on mycoremediation or the role of fungi in bioremediation.",1.0,No,"The paper discusses advanced oxidation processes (AOPs) for the removal of organic pollutants and specifically mentions electro-Fenton processes, but it does not mention the use of fungi for dye remediation.",286354.0,44383.0,84685.0,Experimental,"The paper contains new experiments on electro-Fenton and Fenton-like processes for the degradation of organic pollutants in water, specifically focusing on artificial sweeteners and azo dyes. It reports experimental results on the degradation efficiency, oxidation mechanisms, and toxicity evolution of the target pollutants, indicating original research rather than a summary of previous findings.",4677f9ba1bc6d66865961b00bf93a958,0.0
Water+and+Wastewater+Calculations+Manual_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:59:33.609903,"The paper focuses primarily on water and wastewater engineering, with no mention or relevance to mycoremediation. It discusses calculations and methods related to water quality, treatment processes, and stream ecology but does not address the use of fungi in remediation efforts.",1.0,"The paper does not discuss or focus on mycoremediation or any experimental studies involving fungal species for bioremediation. It primarily covers water and wastewater engineering topics, calculations, and related methodologies without any mention of fungi or their roles in pollutant degradation.",1.0,No,The paper does not mention the use of fungi for dye remediation; it focuses on water and wastewater engineering concepts.,1612756.0,247821.0,500626.0,No,The paper does not contain new experiments on fungi based remediation; it primarily discusses water and wastewater calculations and engineering principles without reference to specific experimental results or findings related to fungi remediation.,3feac1cc184ef8f54ab99729293b1192,1.0
