| Title                                                                                          | Authors                                                                                   | Publication Year | Publication Venue                | URL                                     | Notes                             |
| Disc electrophoresis – II. Method and application to human serum proteins                             | B.J. Davis                                                                                 | 1964             | Ann. NY Acad. Sci.               | https://doi.org/10.1111/j.1749-6632.1964.tb14213.x |                                   |
| Cleavage of structural proteins during the assembly of head bacteriophage T4                         | U.K. Laemmli                                                                               | 1970             | Nature                           | https://doi.org/10.1038/227680a0            |                                   |
| Purification and characterization of an extracellular laccase from solid-state culture of Pleurotus ostreatus HP-1 | H. Patel, S. Gupte, M. Gahlout, A. Gupte                                                   | 2014             | 3 Biotech                        | https://doi.org/10.1007/s13205-013-0129-1   |                                   |
| Use of dinitrosalycilic acid reagent for determination of reducing sugar                             | L.G. Miller                                                                                | 1959             | Anal. Chem.                      | https://doi.org/10.1021/ac60147a030         |                                   |
| Determination of total phenolic and flavonoid contents in selected fruits and vegetables, as well as their stimulatory effects of mouse splenocyte proliferation | J.Y. Lin, C.Y. Tang                                                                        | 2007             | Food Chem.                       | https://doi.org/10.1016/j.foodchem.2006.01.014 |                                   |
| Purification, characterization and usage of thermotolerant laccase from Bacillus sp. for biodegradation of synthetic dyes | G. Kaushik, I.S. Thakur                                                                    | 2013             | Appl. Biochem. Microbiol.        | https://doi.org/10.1134/S0003683813040169   |                                   |
| A novel multicopper oxidase (laccase) from cyanobacteria: Purification, characterization with potential in the decolorization of anthraquinonic dye | S. Afreen, T.N. Shamsi, M.A. Baig, N. Ahmad, S. Fatima, M.I. Qureshi, M.I. Hassan, T. Fatma | 2017             | PLOS One                         | https://doi.org/10.1371/journal.pone.0175144 |                                   |
| Bacterial laccase mediated inhibition of enzymatic browning in apple juice and its sensory evaluation | A. Verma, P. Shirkot, K. Dhiman, N. Rana, V.K. Joshi                                       | 2018             | Int. J. Curr. Microbiol. App. Sci.| https://doi.org/10.20546/ijcmas.2018.701.399 |                                   |
| Isolation, one-step affinity purification, and characterization of a polyextremotolerant laccase from the halophilic bacterium Aquisalibacillus elongatus and its application in the delignification of sugar beet pulp | S. Rezaei, A.R. Shahverdi, M.A. Faramarzi                                                  | 2017             | Bioresour. Technol.              | https://doi.org/10.1016/j.biortech.2017.01.036 |                                   |
| Characterization and application of a novel laccase derived from Bacillus amyloliquefaciens          | H. Wang, L. Huang, Y. Li, J. Ma, S. Wang, Y. Zhang, X. Ge, N. Wang, F. Lu, Y. Liu          | 2020             | Int. J. Biol. Macromol.          | https://doi.org/10.1016/j.ijbiomac.2019.11.117 |                                   |
| Characterization of a Novel laccase-producing Bacillus sp. A4 and its application in Miscanthus degradation | H. Guo, C. Lin, S. Wang, D. Jiang, B. Zheng, Y. Liu, W. Qin                                | 2017             | BioResources                     |                                         |                                   |
| Cloning, expression, and characterization of novel laccase enzyme from native Bacillus subtilis strain OH67 | O. Hajipour, N.M. Dogan, S. Dincer, M. Norizadehazehkand                                    | 2020             | Mol. Biol.                       | https://doi.org/10.31857/S0026898420040060 |                                   |
| Partial purification and biochemical characterization of a new highly acidic NYSO laccase from Alcaligenes faecalis | S.A. Abdelgalil, A.R. Attia, R.M. Reyed, N.A. Soliman                                      | 2020             | J. Genetic Eng. Biotechnol.      | https://doi.org/10.1186/s43141-020-00088-w  |                                   |
| Cloning, expression and characterization of laccase from Bacillus licheniformis NS2324 in E. coli application in dye decolorization | N.K. Chopra, S. Sondhi                                                                     | 2022             | Int. J. Biol. Macromol.          | https://doi.org/10.1016/j.ijbiomac.2022.03.104 |                                   |
| Biochemical and structural properties of a high-temperature-active laccase from Bacillus pumilus and its application in the decolorization of food dyes | T. Li, X. Chu, Z. Yuan, Z. Yao, J. Li, F. Lu, Y. Liu                                       | 2022             | Foods                            | https://doi.org/10.3390/foods11101387      |                                   |
| Thermo and halo tolerant laccase from Bacillus sp. SS4: evaluation for its industrial usefulness      | G. Singh, S. Singh, K. Kaur, S.K. Arya, P. Sharma                                          | 2019             | J. Gen. Appl. Microbiol.         | https://doi.org/10.2323/jgam.2018.04.002   |                                   |
| A pH-stable laccase from alkali-tolerant β-proteobacterium JB: Purification, characterization and indigo carmine degradation | G. Singh, N. Capalash, R. Goel, P. Sharma                                                  | 2007             | Enz. Microb. Technol.            | https://doi.org/10.1016/j.enzmictec.2007.07.001 |                                   |
| Molecular cloning, characterization, and dye-decolorizing ability of a temperature and pH-stable laccase from Bacillus subtilis X1 | Z.B. Guan, N. Zhang, C.M. Song, W. Zhou, L.X. Zhou, H. Zhao, C.W. Xu, X.R. Liao            | 2014             | Biotechnol. Appl. Biochem.       | https://doi.org/10.1007/s12010-013-0614-3  |                                   |
| Laccase: microbial sources, production, purification and potential biotechnological applications     | Shraddha, R. Shekhar, S. Sehgal, M. Kamthania, A. Kumar                                    | 2011             | Enz. Res.                        | https://doi.org/10.4061/2011/217861        |                                   |
| Cohnella sp. A01 laccase: thermostable, detergent resistant, anti-environment and industrial pollutants enzyme | M. Shafiei, F. Afzali, A.A. Karkhane, S.M. Ebrahimi, K. Haghbeen, S. Aminzadeh             | 2019             | Heliyon                          | https://doi.org/10.1016/j.heliyon.2019.e02543 |                                   |
| Effect of various inhibitors on enzymatic browning, antioxidant activity and total phenol content of fresh lettuce (Lectuca sativa) | A. Altunkaya, V. Gokmen                                                                     | 2008             | Food Chem.                       | https://doi.org/10.1016/j.foodchem.2007.09
