type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,any additional information,source_file,type of bacteria,concentration of bacteria
Rhodamine-B,AKCH,1 mg/ml,2 fungal discs (8mm diameter),static,28°C,96 hours,5.4,considerable high rate,High laccase production observed,Degradation+of+dyes+by+white+rot+fungi_.txt,,
Orange G,Daldenia concentrica,50 µM,105 spores/ml,shaking,30°C,12 days,6.5,35.88%,Maximum dye removal observed on twelfth day of incubation.,Microbial+decolorization+of+azo+dyes+and+a+dye+industry+effluent+by+Fomes+lividus_.txt,,
Orange G,Lepiota sp.,50 µM,105 spores/ml,shaking,30°C,12 days,6.5,43.00%,Maximum dye removal observed on twelfth day of incubation.,Microbial+decolorization+of+azo+dyes+and+a+dye+industry+effluent+by+Fomes+lividus_.txt,,
Orange G,Trametes serialis,50 µM,105 spores/ml,shaking,30°C,12 days,6.5,32.00%,Maximum dye removal observed on twelfth day of incubation.,Microbial+decolorization+of+azo+dyes+and+a+dye+industry+effluent+by+Fomes+lividus_.txt,,
Methyl Orange,Daldenia concentrica,50 µM,105 spores/ml,shaking,30°C,8 days,6.5,60.00%,Maximum dye removal observed after eight days of incubation.,Microbial+decolorization+of+azo+dyes+and+a+dye+industry+effluent+by+Fomes+lividus_.txt,,
Methyl Orange,Lepiota sp.,50 µM,105 spores/ml,shaking,30°C,16 days,6.5,58.65%,Maximum dye removal observed on sixteenth day of incubation.,Microbial+decolorization+of+azo+dyes+and+a+dye+industry+effluent+by+Fomes+lividus_.txt,,
Methyl Orange,Trametes serialis,50 µM,105 spores/ml,shaking,30°C,8 days,6.5,53.28%,Maximum dye removal observed after eight days of incubation.,Microbial+decolorization+of+azo+dyes+and+a+dye+industry+effluent+by+Fomes+lividus_.txt,,
Congo Red,Daldenia concentrica,50 µM,105 spores/ml,shaking,30°C,8 days,6.5,91.54%,Maximum dye removal observed after eight days of incubation.,Microbial+decolorization+of+azo+dyes+and+a+dye+industry+effluent+by+Fomes+lividus_.txt,,
Congo Red,Lepiota sp.,50 µM,105 spores/ml,shaking,30°C,8 days,6.5,90.07%,Maximum dye removal observed after eight days of incubation.,Microbial+decolorization+of+azo+dyes+and+a+dye+industry+effluent+by+Fomes+lividus_.txt,,
Congo Red,Trametes serialis,50 µM,105 spores/ml,shaking,30°C,8 days,6.5,95.48%,Maximum dye removal observed after eight days of incubation.,Microbial+decolorization+of+azo+dyes+and+a+dye+industry+effluent+by+Fomes+lividus_.txt,,
Dye industry effluent,Daldenia concentrica,,105 spores/ml,batch mode,39°C,7 days,,84.52%,Maximum colour removal after seventh day.,Microbial+decolorization+of+azo+dyes+and+a+dye+industry+effluent+by+Fomes+lividus_.txt,,
Dye industry effluent,Lepiota sp.,,105 spores/ml,batch mode,39°C,7 days,,66.67%,Maximum colour removal after seventh day.,Microbial+decolorization+of+azo+dyes+and+a+dye+industry+effluent+by+Fomes+lividus_.txt,,
Dye industry effluent,Trametes serialis,,105 spores/ml,batch mode,39°C,7 days,,89.28%,Maximum colour removal after seventh day.,Microbial+decolorization+of+azo+dyes+and+a+dye+industry+effluent+by+Fomes+lividus_.txt,,
Dye industry effluent,Daldenia concentrica,,105 spores/ml,continuous mode,39°C,5 days,,52.38%,Maximum colour removal after fifth day.,Microbial+decolorization+of+azo+dyes+and+a+dye+industry+effluent+by+Fomes+lividus_.txt,,
Dye industry effluent,Lepiota sp.,,105 spores/ml,continuous mode,39°C,7 days,,55.95%,Maximum colour removal after seventh day.,Microbial+decolorization+of+azo+dyes+and+a+dye+industry+effluent+by+Fomes+lividus_.txt,,
Dye industry effluent,Trametes serialis,,105 spores/ml,continuous mode,39°C,5 days,,54.76%,Maximum colour removal after fifth day.,Microbial+decolorization+of+azo+dyes+and+a+dye+industry+effluent+by+Fomes+lividus_.txt,,
Ambifix Blue H3R,Polyporus pseudobetulinus,200 mg/L,Not specified,shaking,25°C,8 days,Not specified,98%,The decolorization was observed over 8 days.,Decolorization+of+textile+dyes+by+Phanerochaete+chrysosporium+and+Pleurotus+sajorcaju_.txt,,
Ambifix Yellow H3R,Polyporus pseudobetulinus,200 mg/L,Not specified,shaking,25°C,10 days,Not specified,24%,Very slowly processed; reached 24% removal at 10 days.,Decolorization+of+textile+dyes+by+Phanerochaete+chrysosporium+and+Pleurotus+sajorcaju_.txt,,
Ambifix Red HE3B,Polyporus pseudobetulinus,200 mg/L,Not specified,shaking,25°C,18 days,Not specified,50%,Reached 50% at 18 days.,Decolorization+of+textile+dyes+by+Phanerochaete+chrysosporium+and+Pleurotus+sajorcaju_.txt,,
Malachite Green,Polyporus pseudobetulinus,100 mg/L,Not specified,shaking,25°C,24 hours,5.0,80%,Crude laccase (5 U/ml) exhibited good ability in decolorizing.,Decolorization+of+textile+dyes+by+Phanerochaete+chrysosporium+and+Pleurotus+sajorcaju_.txt,,
Ambifix Blue H3R,Laccase,100 mg/L,Not specified,shaking,25°C,15 minutes,5.0,65%,Crude laccase (5 U/ml) could decolorize Ambifix Blue H3R.,Decolorization+of+textile+dyes+by+Phanerochaete+chrysosporium+and+Pleurotus+sajorcaju_.txt,,
ABTS,Melanocarpus albomyces,5 mM,not specified,shaking,25°C,not specified,4.5,high activity,activity measured daily,Fed+Batch+Experiment+for+Laccase+Production_.txt,,
guaiacol,Melanocarpus albomyces,not specified,not specified,shaking,not specified,not specified,not specified,high activity,pH optimum was measured,Fed+Batch+Experiment+for+Laccase+Production_.txt,,
"2,6-DMP",Melanocarpus albomyces,0.8 mM,not specified,not specified,not specified,not specified,not specified,high activity,activity measured,Fed+Batch+Experiment+for+Laccase+Production_.txt,,
syringaldazine,Melanocarpus albomyces,0.06 mM,not specified,not specified,not specified,not specified,not specified,high activity,activity measured,Fed+Batch+Experiment+for+Laccase+Production_.txt,,
not specified,Melanocarpus albomyces,not specified,not specified,not specified,60°C,5 hours,not specified,retained 50% activity,thermostability tested,Fed+Batch+Experiment+for+Laccase+Production_.txt,,
not specified,Melanocarpus albomyces,not specified,not specified,not specified,70°C,not specified,not specified,activity dropped sharply,thermostability tested,Fed+Batch+Experiment+for+Laccase+Production_.txt,,
not specified,Melanocarpus albomyces,not specified,not specified,not specified,40°C,over 100 hours,not specified,activity remained unaltered,thermostability tested,Fed+Batch+Experiment+for+Laccase+Production_.txt,,
not specified,Trichoderma reesei,not specified,not specified,shake flasks,28°C,7 days,not specified,activity measured,hydrophobin-laccase fusion protein,Fed+Batch+Experiment+for+Laccase+Production_.txt,,
not specified,Trichoderma reesei,not specified,not specified,fed-batch fermentation,not specified,not specified,5.5-6,highest production level 920 mg/l,production levels recorded,Fed+Batch+Experiment+for+Laccase+Production_.txt,,
Malachite Green,Pleurotus eryngii,10 mg/L,10.0 g/L,shaking,25°C,120 min,7.0,47.2%,Decolorization rate decreases with increase in MG concentration.,Biological+decolorization+of+dye+solution+containing+malachite+green+by+Pandoraea+sp._.txt,,
Malachite Green,Pleurotus eryngii,20 mg/L,10.0 g/L,shaking,25°C,120 min,7.0,94.3%,Decolorization efficiency observed at different temperatures.,Biological+decolorization+of+dye+solution+containing+malachite+green+by+Pandoraea+sp._.txt,,
Malachite Green,Pleurotus eryngii,30 mg/L,10.0 g/L,shaking,25°C,120 min,7.0,90.2%,Decolorization efficiency observed at different temperatures.,Biological+decolorization+of+dye+solution+containing+malachite+green+by+Pandoraea+sp._.txt,,
Malachite Green,Pleurotus eryngii,50 mg/L,10.0 g/L,shaking,25°C,120 min,7.0,Decreased efficiency at high concentrations.,Initial velocity increases from 0.47 to 0.64 mg-MG/g-cell/h.,Biological+decolorization+of+dye+solution+containing+malachite+green+by+Pandoraea+sp._.txt,,
Malachite Green,Pleurotus eryngii,100 mg/L,10.0 g/L,shaking,25°C,120 min,7.0,2.32%,High concentration may have toxic effect on mycelium.,Biological+decolorization+of+dye+solution+containing+malachite+green+by+Pandoraea+sp._.txt,,
Malachite Green,Pleurotus eryngii,150 mg/L,10.0 g/L,shaking,25°C,120 min,7.0,2.32%,High concentration may have toxic effect on mycelium.,Biological+decolorization+of+dye+solution+containing+malachite+green+by+Pandoraea+sp._.txt,,
Malachite Green,Pleurotus eryngii,20 mg/L,10.0 g/L,shaking,30°C,120 min,6.0,97.4%,Optimum pH for decolorization.,Biological+decolorization+of+dye+solution+containing+malachite+green+by+Pandoraea+sp._.txt,,
Malachite Green,Pleurotus eryngii,20 mg/L,10.0 g/L,shaking,20°C,120 min,7.0,Increased rate at higher temperatures.,Temperature over 50°C decreased decolorization rate.,Biological+decolorization+of+dye+solution+containing+malachite+green+by+Pandoraea+sp._.txt,,
Malachite Green,Pleurotus eryngii,20 mg/L,10.0 g/L,shaking,50°C,120 min,7.0,Steady decolorization rate.,Temperature effect on decolorization rate.,Biological+decolorization+of+dye+solution+containing+malachite+green+by+Pandoraea+sp._.txt,,
Malachite Green,Pleurotus eryngii,20 mg/L,10.0 g/L,shaking,55°C,120 min,7.0,Decreased decolorization rate.,Higher temperatures inhibit decolorization.,Biological+decolorization+of+dye+solution+containing+malachite+green+by+Pandoraea+sp._.txt,,
Malachite Green,Pleurotus eryngii,100 µg/L,Zebrafish larvae,,28°C,96 h,,Liver damage observed.,Toxicity of degradation products assessed.,Biological+decolorization+of+dye+solution+containing+malachite+green+by+Pandoraea+sp._.txt,,
Malachite Green,Pleurotus eryngii,100 µg/L,Zebrafish larvae,,28°C,96 h,,Reduced liver damage after degradation.,Toxicity of degradation products assessed.,Biological+decolorization+of+dye+solution+containing+malachite+green+by+Pandoraea+sp._.txt,,
Carmoisine Red,Pleurotus ostreatus,10 ppm,5 g/L,shaking,room temperature,5 days,6.5,81.34%,Dried P. ostreatus showed higher efficiency.,Decolourization+of+synthetic+dyes+using+rice+straw+attached+Pleurotus+ostreatus_.txt,,
Tartrazine Yellow,Pleurotus ostreatus,10 ppm,5 g/L,shaking,room temperature,5 days,6.5,45.36%,Dried P. ostreatus showed higher efficiency.,Decolourization+of+synthetic+dyes+using+rice+straw+attached+Pleurotus+ostreatus_.txt,,
Brilliant Blue FCF,Pleurotus ostreatus,10 ppm,5 g/L,shaking,room temperature,5 days,6.5,19.82%,Dried P. ostreatus showed higher efficiency.,Decolourization+of+synthetic+dyes+using+rice+straw+attached+Pleurotus+ostreatus_.txt,,
Fast Green FCF,Pleurotus ostreatus,10 ppm,5 g/L,shaking,room temperature,5 days,6.5,28.99%,Dried P. ostreatus showed higher efficiency.,Decolourization+of+synthetic+dyes+using+rice+straw+attached+Pleurotus+ostreatus_.txt,,
Carmoisine Red,Pleurotus ostreatus,10 ppm,0.1 g,none,room temperature,5 days,6.5,30.49%,Fresh P. ostreatus used.,Decolourization+of+synthetic+dyes+using+rice+straw+attached+Pleurotus+ostreatus_.txt,,
Tartrazine Yellow,Pleurotus ostreatus,10 ppm,0.1 g,none,room temperature,5 days,6.5,12.66%,Fresh P. ostreatus used.,Decolourization+of+synthetic+dyes+using+rice+straw+attached+Pleurotus+ostreatus_.txt,,
Brilliant Blue FCF,Pleurotus ostreatus,10 ppm,0.1 g,none,room temperature,5 days,6.5,5.11%,Fresh P. ostreatus used.,Decolourization+of+synthetic+dyes+using+rice+straw+attached+Pleurotus+ostreatus_.txt,,
Fast Green FCF,Pleurotus ostreatus,10 ppm,0.1 g,none,room temperature,5 days,6.5,10.43%,Fresh P. ostreatus used.,Decolourization+of+synthetic+dyes+using+rice+straw+attached+Pleurotus+ostreatus_.txt,,
Basic fuchsin,Fomitopsis feei,0.001%,10 mm disk,shaking,28°C,7 days,2.15,73.8%,"Laccase: 12 U/mL, Lignin peroxidase: 24 U/mL",Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt,,
Basic fuchsin,Fomitopsis feei,0.001%,10 mm disk,shaking,28°C,14 days,2.12,81.7%,"Laccase: 14 U/mL, Lignin peroxidase: 30 U/mL",Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt,,
Basic fuchsin,Fomitopsis feei,0.001%,10 mm disk,shaking,28°C,21 days,1.99,98.0%,"Laccase: 46 U/mL, Lignin peroxidase: 36 U/mL",Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt,,
Methyl violet,Fomitopsis feei,0.001%,10 mm disk,shaking,28°C,7 days,6.23,85.3%,"No laccase activity, Lignin peroxidase: 8 U/mL after 21 days",Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt,,
Methyl violet,Fomitopsis feei,0.001%,10 mm disk,shaking,28°C,14 days,5.18,88.7%,No laccase activity,Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt,,
Methyl violet,Fomitopsis feei,0.001%,10 mm disk,shaking,28°C,21 days,2.12,91.5%,Lignin peroxidase: 6 U/mL,Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt,,
Ethyl violet,Fomitopsis feei,0.001%,10 mm disk,shaking,28°C,7 days,6.36,63.1%,Lignin peroxidase: 2 U/mL after 7 days,Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt,,
Ethyl violet,Fomitopsis feei,0.001%,10 mm disk,shaking,28°C,14 days,6.19,79.8%,No laccase or lignin peroxidase activity,Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt,,
Ethyl violet,Fomitopsis feei,0.001%,10 mm disk,shaking,28°C,21 days,5.91,83.1%,No laccase or lignin peroxidase activity,Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt,,
Malachite green,Fomitopsis feei,0.001%,10 mm disk,shaking,28°C,7 days,4.54,81.8%,No laccase activity,Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt,,
Malachite green,Fomitopsis feei,0.001%,10 mm disk,shaking,28°C,14 days,2.18,85.1%,Lignin peroxidase: 16 U/mL,Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt,,
Malachite green,Fomitopsis feei,0.001%,10 mm disk,shaking,28°C,21 days,2.04,89.6%,Lignin peroxidase: 34 U/mL,Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt,,
Bromophenol blue,Fomitopsis feei,0.001%,10 mm disk,shaking,28°C,7 days,2.42,88.1%,No laccase activity,Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt,,
Bromophenol blue,Fomitopsis feei,0.001%,10 mm disk,shaking,28°C,14 days,2.14,92.4%,Laccase: 6 U/mL,Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt,,
Bromophenol blue,Fomitopsis feei,0.001%,10 mm disk,shaking,28°C,21 days,1.98,96.8%,"Laccase: 42 U/mL, Lignin peroxidase: 14 U/mL",Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt,,
Methyl green,Fomitopsis feei,0.001%,10 mm disk,shaking,28°C,7 days,5.75,34.2%,No laccase or lignin peroxidase activity,Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt,,
Methyl green,Fomitopsis feei,0.001%,10 mm disk,shaking,28°C,14 days,2.34,65.1%,No laccase or lignin peroxidase activity,Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt,,
Methyl green,Fomitopsis feei,0.001%,10 mm disk,shaking,28°C,21 days,2.2,88.3%,Lignin peroxidase: 44 U/mL,Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt,,
Amaranth,Trametes versicolor,50 ppm,not specified,agitated,30°C,24 hours,5.0,complete,lag period of approximately 24 hours before complete decoloration,Decolorization+of+textile+dyes+by+white+rot+fungi_.txt,,
Remazol Black B,Trametes versicolor,60 ppm,not specified,agitated,30°C,24 hours,5.0,complete,decolorization occurred rapidly after initial lag,Decolorization+of+textile+dyes+by+white+rot+fungi_.txt,,
Remazol Orange,Trametes versicolor,60 ppm,not specified,agitated,30°C,24 hours,5.0,complete,decolorization occurred with no visual sorption,Decolorization+of+textile+dyes+by+white+rot+fungi_.txt,,
Reactive Blue,Trametes versicolor,20 ppm,not specified,agitated,30°C,24 hours,5.0,complete,decolorization occurred rapidly,Decolorization+of+textile+dyes+by+white+rot+fungi_.txt,,
Tropaeolin O,Trametes versicolor,20 ppm,not specified,agitated,30°C,24 hours,5.0,complete,decolorization occurred with significant activity,Decolorization+of+textile+dyes+by+white+rot+fungi_.txt,,
mixture (Remazol Orange + Remazol Black + Reactive Blue),Trametes versicolor,30 ppm each,not specified,agitated,30°C,48 hours,5.0,complete,maintained high rates of decoloration,Decolorization+of+textile+dyes+by+white+rot+fungi_.txt,,
Amaranth,Trametes versicolor,50 ppm,not specified,fed-batch,30°C,6 hours,5.0,complete,decoloration restored after glucose replenishment,Decolorization+of+textile+dyes+by+white+rot+fungi_.txt,,
Remazol Black,Trametes versicolor,60 ppm,not specified,fed-batch,30°C,48 hours,5.0,complete,decoloration achieved without decrease in rate,Decolorization+of+textile+dyes+by+white+rot+fungi_.txt,,
Amaranth,Trametes versicolor,50 ppm,not specified,N-limited batch,30°C,48 hours,5.0,complete,"lag period observed, indicating induction of decoloration factors",Decolorization+of+textile+dyes+by+white+rot+fungi_.txt,,
Amaranth,Trametes versicolor,50 ppm,not specified,N-rich batch,30°C,48 hours,5.0,limited,substantial mycelial sorption observed,Decolorization+of+textile+dyes+by+white+rot+fungi_.txt,,
Amaranth,Trametes versicolor,50 ppm,not specified,cell-free supernatant,30°C,24 hours,5.0,none,indicates need for biomass for decoloration,Decolorization+of+textile+dyes+by+white+rot+fungi_.txt,,
Amaranth,Trametes versicolor,50 ppm,not specified,resuspended biomass,30°C,24 hours,5.0,complete,demonstrates reusability of biomass for decoloration,Decolorization+of+textile+dyes+by+white+rot+fungi_.txt,,
Poly R-478,Phlebia sp. MG-60,0.02%,not specified,stationary incubation,30°C,2 weeks,4.5,inhibited by high concentrations of sea salts but increased over time,Decolorization ability evaluated under various incubation conditions.,Effects+of+Mn2%2B+and+NH4%2B+concentrations+on+laccase+and+manganese+peroxidase+production+and+amaranth+decoloration+by+Trametes+versicolor_.txt,,
Poly R-478,Phlebia sp. MG-60,0.02%,not specified,stationary incubation,30°C,not specified,not specified,0% sea salts: lower than 200 U/l MnP needed; 3% and 5% sea salts: higher than 400 U/l MnP necessary,Laccase activity was inhibited by 3% and 5% sea salts.,Effects+of+Mn2%2B+and+NH4%2B+concentrations+on+laccase+and+manganese+peroxidase+production+and+amaranth+decoloration+by+Trametes+versicolor_.txt,,
Poly R-478,Phlebia sp. MG-60,0.02%,not specified,stationary incubation,30°C,not specified,not specified,enhanced by Mn2/H11001 at 5% sea salt,Comparison between HM-KS and KS media.,Effects+of+Mn2%2B+and+NH4%2B+concentrations+on+laccase+and+manganese+peroxidase+production+and+amaranth+decoloration+by+Trametes+versicolor_.txt,,
Poly R-478,Phlebia sp. MG-60,0.02%,not specified,stationary incubation,30°C,not specified,not specified,inhibited by higher NH4/H11001 concentration,HN-KS medium showed different inhibition levels under varying sea salt concentrations.,Effects+of+Mn2%2B+and+NH4%2B+concentrations+on+laccase+and+manganese+peroxidase+production+and+amaranth+decoloration+by+Trametes+versicolor_.txt,,
Poly R-478,Phlebia sp. MG-60,0.02%,not specified,stationary incubation,30°C,not specified,not specified,decolorization increased over time despite initial inhibition by sea salts,Correlation between MnP activity and decolorization.,Effects+of+Mn2%2B+and+NH4%2B+concentrations+on+laccase+and+manganese+peroxidase+production+and+amaranth+decoloration+by+Trametes+versicolor_.txt,,
orange G,Thelephora sp.,50 µM,10^5 spores/ml,shaking,30 °C,9 days,not specified,33.3%,Mycelial growth recorded.,Decolourization+of+azo+dyes+and+a+dye+industry+effluent+by+white+rot+fungus+Thelephora+sp._.txt,,
congo red,Thelephora sp.,50 µM,10^5 spores/ml,shaking,30 °C,8 h,not specified,97.1%,Mycelial growth recorded.,Decolourization+of+azo+dyes+and+a+dye+industry+effluent+by+white+rot+fungus+Thelephora+sp._.txt,,
amido black 10B,Thelephora sp.,25 µM,10^5 spores/ml,shaking,30 °C,24 h,not specified,98.8%,Mycelial growth recorded.,Decolourization+of+azo+dyes+and+a+dye+industry+effluent+by+white+rot+fungus+Thelephora+sp._.txt,,
orange G,laccase,50 µM,15 U/ml,not specified,not specified,not specified,not specified,19%,Enzymatic treatment with laccase.,Decolourization+of+azo+dyes+and+a+dye+industry+effluent+by+white+rot+fungus+Thelephora+sp._.txt,,
orange G,LiP,50 µM,15 U/ml,not specified,not specified,not specified,4.5,13.5%,Enzymatic treatment with LiP.,Decolourization+of+azo+dyes+and+a+dye+industry+effluent+by+white+rot+fungus+Thelephora+sp._.txt,,
orange G,MnP,50 µM,15 U/ml,not specified,not specified,not specified,4.5,10.8%,Enzymatic treatment with MnP.,Decolourization+of+azo+dyes+and+a+dye+industry+effluent+by+white+rot+fungus+Thelephora+sp._.txt,,
congo red,laccase,50 µM,5 U/ml,not specified,not specified,not specified,not specified,12.0%,Enzymatic treatment with laccase.,Decolourization+of+azo+dyes+and+a+dye+industry+effluent+by+white+rot+fungus+Thelephora+sp._.txt,,
amido black 10B,laccase,25 µM,5 U/ml,not specified,not specified,not specified,not specified,15.0%,Enzymatic treatment with laccase.,Decolourization+of+azo+dyes+and+a+dye+industry+effluent+by+white+rot+fungus+Thelephora+sp._.txt,,
dye industry effluent,Thelephora sp.,not specified,10^5 spores/ml,batch mode,39 °C,3 days,4.5,61%,Batch mode treatment.,Decolourization+of+azo+dyes+and+a+dye+industry+effluent+by+white+rot+fungus+Thelephora+sp._.txt,,
dye industry effluent,Thelephora sp.,not specified,10^5 spores/ml,continuous mode,39 °C,7 days,4.5,50%,Continuous mode treatment.,Decolourization+of+azo+dyes+and+a+dye+industry+effluent+by+white+rot+fungus+Thelephora+sp._.txt,,
dye industry effluent,laccase,not specified,15 U/ml,not specified,not specified,1 h,7.0,15%,Enzymatic treatment.,Decolourization+of+azo+dyes+and+a+dye+industry+effluent+by+white+rot+fungus+Thelephora+sp._.txt,,
Neolane yellow,Trametes trogii,50 mg l−1,not specified,rotary shaker,30°C,1 day,5,18%,Decolorization with HBT: 100% after 24h,Decolouration+of+textile+dyes+by+fungal+pellets_.txt,,
Neolane yellow,Trametes trogii,50 mg l−1,not specified,rotary shaker,30°C,4 days,5,39.6%,Decolorization with HBT: 100% after 24h,Decolouration+of+textile+dyes+by+fungal+pellets_.txt,,
Maxillon blue,Trametes trogii,50 mg l−1,not specified,rotary shaker,30°C,1 day,5,0%,Decolorization with HBT: 15.14%,Decolouration+of+textile+dyes+by+fungal+pellets_.txt,,
Maxillon blue,Trametes trogii,50 mg l−1,not specified,rotary shaker,30°C,4 days,5,0%,Decolorization with HBT: 35.3%,Decolouration+of+textile+dyes+by+fungal+pellets_.txt,,
Neolane pink,Trametes trogii,50 mg l−1,not specified,rotary shaker,30°C,1 day,5,63.6%,nd (not determined),Decolouration+of+textile+dyes+by+fungal+pellets_.txt,,
Neolane pink,Trametes trogii,50 mg l−1,not specified,rotary shaker,30°C,4 days,5,86.4%,nd (not determined),Decolouration+of+textile+dyes+by+fungal+pellets_.txt,,
Basacryl yellow,Trametes trogii,50 mg l−1,not specified,rotary shaker,30°C,10 days,5,0%,nd (not determined),Decolouration+of+textile+dyes+by+fungal+pellets_.txt,,
Neolane blue,Trametes trogii,50 mg l−1,not specified,rotary shaker,30°C,1 day,5,91.5%,nd (not determined),Decolouration+of+textile+dyes+by+fungal+pellets_.txt,,
Neolane blue,Trametes trogii,50 mg l−1,not specified,rotary shaker,30°C,4 days,5,91.2%,nd (not determined),Decolouration+of+textile+dyes+by+fungal+pellets_.txt,,
